grade,emp_length,home_ownership,income,state,debt to income,earliest credit
C,10+ years,RENT,150000,MD,12,1988
C,< 1 year,MORTGAGE,15000,FL,49,2002
C,10+ years,RENT,20000,VT,18,2005
C,9 years,RENT,30000,WA,14,1997
C,< 1 year,RENT,40000,CA,16,2001
C,4 years,RENT,60000,WI,30,2007
C,2 years,RENT,30000,AZ,25,1999
C,1 year,MORTGAGE,125000,IL,15,1997
A,< 1 year,MORTGAGE,150000,VA,7,1995
C,5 years,OWN,80000,IL,16,1997
C,< 1 year,RENT,60000,OH,13,2004
A,10+ years,MORTGAGE,150000,NV,5,2004
A,3 years,RENT,100000,MA,22,1979
C,10+ years,MORTGAGE,150000,NY,20,1989
A,2 years,RENT,40000,CA,10,2008
